Text,Target
ажиллаж байгаа,ажиллаж байгаа
одоо ажиллаж байна,ажиллаж байгаа
түр орон тоон дээр ажилласан,хүний оронд түр ажиллаж байсан
ажиллаж байгаа,ажиллаж байгаа
одоо ажиллаж байгаа,ажиллаж байгаа
одоог хүртэл ажиллаж байгаа,ажиллаж байгаа
чөлөөлөгдээгүй,ажиллаж байгаа
өөр ажилд орсон,нутаг дотроо шилжин ажиллахаар болсон
1 жилийн хугацаагаар,хүний оронд түр ажиллаж байсан
1р цэцэрлэгт шилжин ажилласан,нутаг дотроо шилжин ажиллахаар болсон
1р сургуульд хөгжмийн багшаар ажлах болсон тул,нутаг дотроо шилжин ажиллахаар болсон
1р сургуульд шилжин ажиллах шалтгаанаар,нутаг дотроо шилжин ажиллахаар болсон
1р цэцэрлэг,нутаг дотроо шилжин ажиллахаар болсон
1р цэцэрлэгт арга зүйчээр орсон,нутаг дотроо шилжин ажиллахаар болсон
10 дугаар цэцэрлэгт ажилд орохоор болсон,нутаг дотроо шилжин ажиллахаар болсон
10р сургууль руу шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
10р цэцэрлэгт орсон,нутаг дотроо шилжин ажиллахаар болсон
132 цэцэрлэг эрхлэгчээр шилжсэн,дэвшин ажиллахаар
133р цэцэрлэг рүү шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
138 цэцэрлэг эрхлэгчээр томилогдсон,нутаг дотроо шилжин ажиллахаар болсон
138 эрхлэгчээр,нутаг дотроо шилжин ажиллахаар болсон
14р цэцэрлэг рүү шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
14р цэцэрлэгт арга зүйчээр ажиллахаар,нутаг дотроо шилжин ажиллахаар болсон
142р сургуульд бага боловсролын сургалтын менежер,дэвшин ажиллахаар
18р цэцэрлэг буулгасан,халагдсан
186 дугаар тусгай цэцэрлэгт 20200103 наас арга зүйч хийх болсон тул,дэвшин ажиллахаар
194цэцэрлэг,нутаг дотроо шилжин ажиллахаар болсон
19841988 багшийн сургуульд мэргэжил дээшлүүлж суралцсан,мэргэжил дээшлүүлэхээр
20120904ний ажилласан жил тэтгэврийн даатгалын шимтгэлийг нөхөн тооцох тухай хууль,тэтгэвэрт гарсан
205 цэцэрлэгийн эрхлэгчээр тушаал дэвшссэн,дэвшин ажиллахаар
21 сургуульд шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
22р цэцэрлэгт шилжүүлэв,нутаг дотроо шилжин ажиллахаар болсон
225 р цэцэрлэгт ажиллах болсон,нутаг дотроо шилжин ажиллахаар болсон
23р сургуульд ажиллах болсон тул,нутаг дотроо шилжин ажиллахаар болсон
241 дүгээр цэцэрлэг,нутаг дотроо шилжин ажиллахаар болсон
241 цэцэрлэг,нутаг дотроо шилжин ажиллахаар болсон
241 цэцэрлэг нярав,дэвшин ажиллахаар
241 цэцэрлэг эрхлэгч,дэвшин ажиллахаар
241 р цэцэрлэг,нутаг дотроо шилжин ажиллахаар болсон
241р цэцэрлэг,нутаг дотроо шилжин ажиллахаар болсон
245 дугаар цэцэрлэгт арга зүйч хийхээр,дэвшин ажиллахаар
26р цэцэрлэгт багшаар явсан,нутаг дотроо шилжин ажиллахаар болсон
3 дугаар сургууль ажиллахаар,нутаг дотроо шилжин ажиллахаар болсон
3 жилийн тэтгэмж авч гарсан,тэтгэвэрт гарсан
3р сургууль татан буугдсан,халагдсан
306р цэцэрлэгт эрхлэгчээр,дэвшин ажиллахаар
4р сургууль татан буугдсан тул нэр олдоогүй,халагдсан
4р цэцэрлэгийн эрхлэгчээр хавсран ажиллаж байсан чөлөөлүүлэх хүсэлт гаргасан,өөрийн хүсэлтээр
49р шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
50р цэцэлэг,нутаг дотроо шилжин ажиллахаар болсон
53р цэцэрлэгт арга зүйчээр ажиллах болсон тул,дэвшин ажиллахаар
5р цэцэрлэгт урилгаар шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
6н настай 1р ангийн багшаар орсон,нутаг дотроо шилжин ажиллахаар болсон
6р цэцэрлэгт ажилд орсон,нутаг дотроо шилжин ажиллахаар болсон
6р цэцэрлэгийн о бүлэгт ажиллахаар,нутаг дотроо шилжин ажиллахаар болсон
62р сургуульд шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
62р цэцэрлэгрүү эрхлэгчээр шилжсэн,дэвшин ажиллахаар
7р цэцэрлэгт арга зүйчээр,дэвшин ажиллахаар
7р цэцэрлэгт багш,нутаг дотроо шилжин ажиллахаар болсон
76р сургуульд багшаар орсон,нутаг дотроо шилжин ажиллахаар болсон
8 дугаар сургуулийн бага ангийн багш сонгон шалгаруулалтад орж тэнцсэн бага ангийн багшаар ажиллах болсон,нутаг дотроо шилжин ажиллахаар болсон
83р цэцэрлэгт багшаар ирсэн,нутаг дотроо шилжин ажиллахаар болсон
85р цэцэрлэгт шилжин ажилласан,нутаг дотроо шилжин ажиллахаар болсон
88р цэцэрлэгт арга зүйч,дэвшин ажиллахаар
9р цэцэрлэг рүү шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
covid 19,эрүүл мэндийн улмаас
uuriin huselt,өөрийн хүсэлтээр
албан тушаалын өөрчлөлт,дэвшин ажиллахаар
амралтаа авсан,ажиллаж байгаа
ану руу явсан,гадаад улс руу шилжин ажиллахаар болсон
ану улс руу мэргэжил дээшлүүлэхээр гэр бүлээрэй явсан,мэргэжил дээшлүүлэхээр
ануруу хувийн шугамаар ажил хийхээр,гадаад улс руу шилжин ажиллахаар болсон
ар гэрийн гачигдал,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
аавыгаа асарсан,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
аавыгаа эмчилгээнд гадаадруу авч явах,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
аавын эрүүл мэндийн шалтгааны улмаас сахих шаардлагатай болсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
австрали улсад сурахаар явсан,гадаад улс руу шилжин ажиллахаар болсон
ажил дуусгавар болсон,гэрээний хугацаа дууссан
ажил дуусгавар болсон,гэрээний хугацаа дууссан
ажил солисон,нутаг дотроо шилжин ажиллахаар болсон
ажил солих,нутаг дотроо шилжин ажиллахаар болсон
ажил сольсон,нутаг дотроо шилжин ажиллахаар болсон
ажил хол,нутаг дотроо шилжин ажиллахаар болсон
ажил өөрчилсөн,нутаг дотроо шилжин ажиллахаар болсон
ажил өөрчлөгдсөн,нутаг дотроо шилжин ажиллахаар болсон
ажилаа солих хэрэгцээ шаардлагатай болсон,өөрийн хүсэлтээр
ажилаа сольсон,нутаг дотроо шилжин ажиллахаар болсон
ажилд орсон,нутаг дотроо шилжин ажиллахаар болсон
ажилд орсон захирлын б59 ажлаас гарсан б22 тушаал,халагдсан
ажилд орсон тул болсон,нутаг дотроо шилжин ажиллахаар болсон
ажилдаа орсон нярайн чөлөөтэй байж байгаад,ажиллаж байгаа
ажилдаа эргэн орсон,ажиллаж байгаа
ажиллах нөцөл таалагдаагүй,өөрийн хүсэлтээр
ажилтаны хүсэлтийг үндэслэн,өөрийн хүсэлтээр
