END_REASON_ID,END_REASON_DESCRIPTION,END_REASON_DESCRIPTION CLEAR
0,Ажиллаж байгаа,ажиллаж байгаа
0,Одоо ажиллаж байна,ажиллаж байгаа
10,Түр орон тоон дээр ажилласан,хүний оронд түр ажиллаж байсан
0,ажиллаж байгаа,ажиллаж байгаа
0,одоо ажиллаж байгаа,ажиллаж байгаа
0,одоог хүртэл ажиллаж байгаа,ажиллаж байгаа
0,чөлөөлөгдээгүй,ажиллаж байгаа
9,Өөр ажилд орсон,нутаг дотроо шилжин ажиллахаар болсон
10,1 жилийн хугацаагаар,хүний оронд түр ажиллаж байсан
9,1-Р цэцэрлэгт шилжин ажилласан,нутаг дотроо шилжин ажиллахаар болсон
9,1-р сургуульд хөгжмийн багшаар ажлах болсон тул,нутаг дотроо шилжин ажиллахаар болсон
9,1-р сургуульд шилжин ажиллах шалтгаанаар,нутаг дотроо шилжин ажиллахаар болсон
9,1-р цэцэрлэг,нутаг дотроо шилжин ажиллахаар болсон
9,1-р цэцэрлэгт арга зүйчээр орсон,нутаг дотроо шилжин ажиллахаар болсон
9,10 дугаар цэцэрлэгт ажилд орохоор болсон,нутаг дотроо шилжин ажиллахаар болсон
9,10-р сургууль руу шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
9,10-р цэцэрлэгт орсон,нутаг дотроо шилжин ажиллахаар болсон
13,132 цэцэрлэг эрхлэгчээр шилжсэн,дэвшин ажиллахаар
9,133-р цэцэрлэг рүү шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
9,138 цэцэрлэг эрхлэгчээр томилогдсон,нутаг дотроо шилжин ажиллахаар болсон
9,138 эрхлэгчээр,нутаг дотроо шилжин ажиллахаар болсон
9,14-р цэцэрлэг рүү шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
9,14-р цэцэрлэгт арга зүйчээр ажиллахаар,нутаг дотроо шилжин ажиллахаар болсон
13,142-р сургуульд бага боловсролын сургалтын менежер,дэвшин ажиллахаар
4,18-р цэцэрлэг буулгасан,халагдсан
13,186 дугаар тусгай цэцэрлэгт 2020.01.03 наас арга зүйч хийх болсон тул,дэвшин ажиллахаар
9,194цэцэрлэг,нутаг дотроо шилжин ажиллахаар болсон
6,1984-1988 Багшийн сургуульд мэргэжил дээшлүүлж суралцсан,мэргэжил дээшлүүлэхээр
1,"2012,09,04-ний ажилласан жил тэтгэврийн даатгалын шимтгэлийг нөхөн тооцох тухай хууль",тэтгэвэрт гарсан
13,205 цэцэрлэгийн эрхлэгчээр тушаал дэвшссэн,дэвшин ажиллахаар
9,21 сургуульд шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
9,22-р цэцэрлэгт шилжүүлэв,нутаг дотроо шилжин ажиллахаар болсон
9,225- р цэцэрлэгт ажиллах болсон,нутаг дотроо шилжин ажиллахаар болсон
9,23р сургуульд ажиллах болсон тул,нутаг дотроо шилжин ажиллахаар болсон
9,241 дүгээр цэцэрлэг,нутаг дотроо шилжин ажиллахаар болсон
9,241 цэцэрлэг,нутаг дотроо шилжин ажиллахаар болсон
13,241 цэцэрлэг нярав,дэвшин ажиллахаар
13,241 цэцэрлэг эрхлэгч,дэвшин ажиллахаар
9,241- р цэцэрлэг,нутаг дотроо шилжин ажиллахаар болсон
9,241-р цэцэрлэг,нутаг дотроо шилжин ажиллахаар болсон
13,245 дугаар цэцэрлэгт арга зүйч хийхээр,дэвшин ажиллахаар
9,26-р цэцэрлэгт багшаар явсан,нутаг дотроо шилжин ажиллахаар болсон
9,3 дугаар сургууль ажиллахаар,нутаг дотроо шилжин ажиллахаар болсон
1,3 жилийн тэтгэмж авч гарсан.,тэтгэвэрт гарсан
4,3-р сургууль татан буугдсан,халагдсан
13,306-р цэцэрлэгт эрхлэгчээр,дэвшин ажиллахаар
4,4-р сургууль татан буугдсан тул нэр олдоогүй.,халагдсан
11,4-р цэцэрлэгийн эрхлэгчээр хавсран ажиллаж байсан чөлөөлүүлэх хүсэлт гаргасан,өөрийн хүсэлтээр
9,49-р  шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
9,50-р цэцэлэг,нутаг дотроо шилжин ажиллахаар болсон
13,53-р цэцэрлэгт арга зүйчээр ажиллах болсон тул,дэвшин ажиллахаар
9,5р цэцэрлэгт урилгаар шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
9,6-н настай 1-р ангийн багшаар орсон,нутаг дотроо шилжин ажиллахаар болсон
9,6-р  цэцэрлэгт ажилд  орсон,нутаг дотроо шилжин ажиллахаар болсон
9,"6-р цэцэрлэгийн ""О"" бүлэгт ажиллахаар",нутаг дотроо шилжин ажиллахаар болсон
9,62-р сургуульд шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
13,62-р цэцэрлэгрүү Эрхлэгчээр шилжсэн.,дэвшин ажиллахаар
13,7-р цэцэрлэгт арга зүйчээр,дэвшин ажиллахаар
9,7-р цэцэрлэгт багш,нутаг дотроо шилжин ажиллахаар болсон
9,76р сургуульд багшаар орсон,нутаг дотроо шилжин ажиллахаар болсон
9,"8 дугаар сургуулийн бага ангийн багш сонгон шалгаруулалтад орж, тэнцсэн. Бага ангийн багшаар ажиллах болсон.",нутаг дотроо шилжин ажиллахаар болсон
9,83-р цэцэрлэгт багшаар ирсэн,нутаг дотроо шилжин ажиллахаар болсон
9,85-Р ЦЭЦЭРЛЭГТ ШИЛЖИН АЖИЛЛАСАН.,нутаг дотроо шилжин ажиллахаар болсон
13,88-р цэцэрлэгт арга зүйч,дэвшин ажиллахаар
9,9-р цэцэрлэг рүү шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
3,Covid 19,эрүүл мэндийн улмаас
11,uuriin huselteer,өөрийн хүсэлтээр
13,АЛБАН ТУШААЛЫН ӨӨРЧЛӨЛТ,дэвшин ажиллахаар
0,АМРАЛТАА АВСАН,ажиллаж байгаа
7,АНУ руу явсан,гадаад улс руу шилжин ажиллахаар болсон
6,АНУ улс руу мэргэжил дээшлүүлэхээр гэр бүлээрэй явсан,мэргэжил дээшлүүлэхээр
7,АНУ-руу хувийн шугамаар ажил хийхээр,гадаад улс руу шилжин ажиллахаар болсон
5,АР ГЭРИЙН ГАЧИГДАЛ,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Аавыгаа асарсан,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Аавыгаа эмчилгээнд гадаадруу авч явах,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
5,Аавын эрүүл мэндийн шалтгааны улмаас сахих шаардлагатай болсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
7,Австрали улсад сурахаар явсан,гадаад улс руу шилжин ажиллахаар болсон
15,Ажил дуусгавар болсон,гэрээний хугацаа дууссан
15,Ажил дуусгавар болсон.,гэрээний хугацаа дууссан
9,Ажил солисон,нутаг дотроо шилжин ажиллахаар болсон
9,Ажил солих,нутаг дотроо шилжин ажиллахаар болсон
9,Ажил сольсон,нутаг дотроо шилжин ажиллахаар болсон
9,Ажил хол,нутаг дотроо шилжин ажиллахаар болсон
9,Ажил өөрчилсөн,нутаг дотроо шилжин ажиллахаар болсон
9,Ажил өөрчлөгдсөн,нутаг дотроо шилжин ажиллахаар болсон
11,"Ажилаа солих, хэрэгцээ шаардлагатай болсон.",өөрийн хүсэлтээр
9,Ажилаа сольсон,нутаг дотроо шилжин ажиллахаар болсон
9,Ажилд орсон,нутаг дотроо шилжин ажиллахаар болсон
4,"Ажилд орсон захирлын Б59, ажлаас гарсан Б22 тушаал",халагдсан
9,Ажилд орсон тул болсон,нутаг дотроо шилжин ажиллахаар болсон
0,Ажилдаа орсон нярайн чөлөөтэй байж байгаад,ажиллаж байгаа
0,Ажилдаа эргэн орсон,ажиллаж байгаа
11,Ажиллах нөцөл таалагдаагүй,өөрийн хүсэлтээр
11,Ажилтаны хүсэлтийг үндэслэн,өөрийн хүсэлтээр
11,Ажилтны хүсэлтээр,өөрийн хүсэлтээр
11,Ажлаа солих сонирхолоор,өөрийн хүсэлтээр
4,Ажлаа хаяад хэл сураггүй алга болсон. 20 хоногийн дараа гарлаа өөрөө  гэдгээ утсаар ярьж хэлсэн,халагдсан
9,Ажлаа өөрчлөх,нутаг дотроо шилжин ажиллахаар болсон
9,Ажлаа өөрчлөх шаардлагаас,нутаг дотроо шилжин ажиллахаар болсон
11,Ажлаас чөлөөлөгдсөн. Өөрийн хү сэлтээр,өөрийн хүсэлтээр
4,Ажлаас чөлөөлөгдөв,халагдсан
11,Ажлийн байр хол.,өөрийн хүсэлтээр
9,Ажлын байраа сольсон,нутаг дотроо шилжин ажиллахаар болсон
4,Ажлын байрны цомхотголын улмаас ажлаас гарсан.,халагдсан
9,Ажлын нөхцөлөө өөрчлөх,нутаг дотроо шилжин ажиллахаар болсон
9,Ажлын урилга ирсэн,нутаг дотроо шилжин ажиллахаар болсон
11,Ажлын цаг их цалин бага,өөрийн хүсэлтээр
4,Ажлын цомогтгол,халагдсан
11,Ажлын шаардлагаар,өөрийн хүсэлтээр
14,Аймаг дотроо шилжин амьдрах болсон,хот суурин газар руу шилжин ажиллахаар болсон
14,Аймаг руу шилжсэн.,хот суурин газар руу шилжин ажиллахаар болсон
14,Аймаг шилжсэн,хот суурин газар руу шилжин ажиллахаар болсон
14,Аймгийн төв рүү гэр бүлээрээ шилжсэн,хот суурин газар руу шилжин ажиллахаар болсон
14,Аймгийн төв рүү шилжсэн,хот суурин газар руу шилжин ажиллахаар болсон
14,Аймгийн төв рүү шилжсэн.,хот суурин газар руу шилжин ажиллахаар болсон
14,Аймгийн төв шилжсэн,хот суурин газар руу шилжин ажиллахаар болсон
14,Аймгийн төвд ажиллахаар ирсэн.,хот суурин газар руу шилжин ажиллахаар болсон
14,Аймгийн төвд шилжин ирсэн,хот суурин газар руу шилжин ажиллахаар болсон
14,Аймгийн төвийн сургуульд орох зорилгоор шилжсэн,хот суурин газар руу шилжин ажиллахаар болсон
14,Аймгийн төврүү шилжиж ирсэн,хот суурин газар руу шилжин ажиллахаар болсон
14,Аймгийн төврүү шилжих болсон тул,хот суурин газар руу шилжин ажиллахаар болсон
4,Албан байгууллага татан буугдсан.,халагдсан
13,Албан тушаал ахисан,дэвшин ажиллахаар
13,Албан тушаал ахих,дэвшин ажиллахаар
13,Албан тушаал дэвшсэн,дэвшин ажиллахаар
13,Албан тушаал өөрчлөгдсөн,дэвшин ажиллахаар
4,Амаржаад эргэж ажилдаа ороогүй,халагдсан
10,Амаржсан эхийн оронд ажиллаж байсан,хүний оронд түр ажиллаж байсан
0,Амаржсаны амралтын чөлөө,ажиллаж байгаа
